finOrg_id,name,country_code,region,investment_rounds,invested_companies,milestones,relationships,years_invested
5721,Dafna Capital Management,USA,Los Angeles,3,3,0,0,0.27
5722,Brio Capital,USA,New York,1,1,0,0,0.0
5723,FIT-One Holdings,JPN,Tokyo,1,1,0,0,0.0
5724,BeCapital,LUX,Luxembourg,1,1,0,0,0.0
5725,ISF Succ̬s Europe,FRA,Valbonne,1,1,0,0,0.0
5726,The Ontario Capital Growth,CAN,Toronto,6,5,0,0,3.36
5727,Cycle Capital,CAN,Montreal,6,5,2,8,3.07
5728,TIME Equity Partners,FRA,Paris,5,5,0,0,2.28
5729,BonVenture,DEU,Munich,1,1,0,0,0.0
573,Flagship Ventures,USA,Boston,97,55,5,42,13.92
5730,Global Yield Fund,unknown,unknown,1,1,0,0,0.0
5732,Chinatrust Venture Capital,TWN,Taipei,1,1,0,0,0.0
5733,Illuminate Ventures,USA,SF Bay,16,9,2,5,7.23
5734,NAXOS Capital Partners,unknown,unknown,4,3,1,2,1.71
5735,RockWood Equity Partners,USA,Cleveland,1,1,0,0,0.0
5736,Retro Venture Partners,USA,SF Bay,3,2,0,0,2.46
5737,Dutchess Capital,USA,Boston,1,1,0,0,0.0
