finOrg_id,name,country_code,city,region,first_investment_at,last_investment_at,investment_rounds,invested_companies,milestones,relationships,years_invested
f:3872,Østjysk Innovation,DNK,Aarhus N,Aarhus N,2012-12-01,2012-12-01,1,1,0,0,0.0
f:3873,Powerscourt Capital Partners,IRL,Dublin,Dublin,2009-12-16,2009-12-16,1,1,0,0,0.0
f:3875,BANSEA,SGP,Singapore,Singapore,,,0,0,0,3,
f:3876,Colonnade Advisors LLC,USA,Chicago,Chicago,,,0,0,0,6,
f:3877,Quatrex Capital,unknown,unknown,unknown,2009-11-18,2010-03-01,2,1,1,0,0.28
f:3878,Invest Northern Ireland,USA,Boston,Boston,2005-03-04,2009-10-02,5,5,1,0,4.58
f:388,Elron Electronic Industries,ISR,Tel Aviv,Tel Aviv,2005-03-22,2009-09-02,13,11,0,22,4.45
f:3880,New Island Capital,USA,San Francisco,SF Bay,2005-11-25,2009-11-18,2,2,0,1,3.98
f:3881,TechOperators,USA,Atlanta,Atlanta,2009-11-01,2013-09-25,9,7,1,5,3.9
f:3882,DaneVest Tech Fund Advisors,USA,Middleton,Middleton,2009-11-12,2013-09-10,3,3,0,0,3.83
f:3883,Phenomenelle Angels,USA,Madison,Madison,2006-08-01,2013-09-10,9,6,0,1,7.11
f:3884,Wisconsin Investment Partners,USA,Madison,Madison,2006-11-30,2013-05-29,12,10,0,5,6.49
f:3885,Catterton Partners,USA,Greenwich,New York,2006-08-06,2013-10-01,9,9,0,0,7.15
f:3887,Rockbridge Growth Equity,USA,Detroit,unknown,2009-11-18,2010-11-22,2,2,1,2,1.01
f:3888,Vernon & Park Capital,USA,Chicago,Chicago,2009-11-17,2012-02-14,6,4,0,3,2.24
f:389,Schoffstall Ventures,USA,Harrisburg,Harrisburg,2007-07-01,2007-07-01,1,1,0,4,0.0
f:3891,DiBernardo Capital,unknown,unknown,unknown,,,0,0,0,0,
f:3892,Seedcap,SWE,Stockholm,Stockholm,,,0,0,0,2,
f:3893,incTANK Ventures,USA,Cambridge,Boston,2009-11-19,2013-12-04,2,2,0,1,4.04
